iter	Passed	Remaining
0	175	87560
1	191	47723
2	206	34194
3	218	27043
4	229	22743
5	239	19683
6	249	17544
7	258	15896
8	266	14556
9	274	13467
10	283	12619
11	291	11857
12	299	11210
13	306	10646
14	313	10132
15	321	9735
16	328	9339
17	335	8982
18	342	8672
19	349	8394
20	356	8122
21	362	7877
22	368	7650
23	375	7444
24	382	7275
25	389	7107
26	397	6962
27	404	6813
28	411	6685
29	417	6546
30	424	6425
31	431	6306
32	437	6194
33	444	6094
34	451	5993
35	458	5908
36	464	5815
37	471	5734
38	478	5652
39	484	5574
40	492	5509
41	498	5441
42	505	5373
43	513	5317
44	520	5258
45	527	5209
46	535	5157
47	542	5112
48	549	5060
49	556	5010
50	563	4961
51	568	4901
52	575	4853
53	582	4806
54	587	4756
55	594	4713
56	600	4670
57	606	4625
58	613	4587
59	619	4545
60	627	4513
61	633	4478
62	643	4460
63	649	4425
64	656	4391
65	662	4354
66	668	4319
67	676	4295
68	683	4268
69	691	4249
70	700	4233
71	707	4206
72	714	4176
73	721	4151
74	728	4129
75	736	4109
76	744	4088
77	750	4062
78	756	4033
79	764	4015
80	771	3990
81	778	3967
82	784	3942
83	791	3918
84	798	3896
85	804	3872
86	810	3849
87	819	3838
88	826	3817
89	833	3798
90	841	3781
91	848	3760
92	854	3739
93	861	3719
94	867	3696
95	875	3682
96	881	3661
97	887	3642
98	895	3626
99	901	3606
100	908	3590
101	915	3570
102	922	3554
103	929	3538
104	937	3528
105	944	3510
106	951	3496
107	957	3475
108	964	3461
109	972	3448
110	979	3431
111	986	3417
112	992	3399
113	999	3383
114	1006	3368
115	1012	3352
116	1020	3341
117	1028	3328
118	1035	3315
119	1043	3302
120	1050	3290
121	1057	3276
122	1064	3262
123	1071	3250
124	1078	3234
125	1085	3222
126	1092	3209
127	1099	3195
128	1106	3182
129	1114	3171
130	1119	3153
131	1125	3137
132	1131	3121
133	1138	3110
134	1145	3096
135	1152	3084
136	1159	3071
137	1164	3055
138	1170	3040
139	1177	3027
140	1184	3016
141	1191	3003
142	1198	2990
143	1204	2977
144	1211	2967
145	1218	2953
146	1225	2942
147	1231	2928
148	1237	2916
149	1244	2902
150	1251	2891
151	1257	2879
152	1264	2868
153	1270	2855
154	1277	2843
155	1284	2832
156	1290	2820
157	1298	2811
158	1305	2800
159	1311	2786
160	1316	2772
161	1323	2760
162	1329	2748
163	1336	2737
164	1342	2725
165	1348	2713
166	1355	2703
167	1362	2693
168	1368	2680
169	1375	2669
170	1382	2659
171	1388	2647
172	1394	2635
173	1402	2626
174	1409	2617
175	1416	2608
176	1424	2599
177	1430	2587
178	1436	2575
179	1442	2565
180	1449	2555
181	1455	2542
182	1461	2531
183	1467	2521
184	1475	2511
185	1482	2502
186	1489	2492
187	1495	2481
188	1501	2470
189	1506	2458
190	1513	2448
191	1520	2438
192	1527	2430
193	1535	2421
194	1542	2412
195	1549	2403
196	1556	2393
197	1563	2384
198	1569	2374
199	1575	2363
200	1581	2352
201	1587	2341
202	1592	2330
203	1598	2318
204	1604	2309
205	1611	2299
206	1618	2290
207	1624	2280
208	1631	2272
209	1638	2263
210	1645	2253
211	1652	2244
212	1658	2234
213	1664	2223
214	1671	2215
215	1677	2205
216	1683	2196
217	1690	2187
218	1697	2177
219	1704	2169
220	1711	2160
221	1717	2151
222	1724	2142
223	1731	2133
224	1737	2124
225	1744	2114
226	1750	2105
227	1757	2097
228	1764	2088
229	1770	2078
230	1776	2068
231	1782	2058
232	1788	2049
233	1794	2039
234	1801	2030
235	1808	2023
236	1816	2015
237	1822	2006
238	1828	1996
239	1835	1988
240	1842	1980
241	1849	1971
242	1856	1963
243	1863	1954
244	1869	1945
245	1875	1936
246	1884	1930
247	1891	1921
248	1897	1912
249	1903	1903
250	1909	1894
251	1917	1886
252	1924	1878
253	1931	1870
254	1938	1862
255	1945	1854
256	1951	1845
257	1957	1836
258	1964	1827
259	1971	1819
260	1977	1811
261	1985	1803
262	1994	1797
263	2000	1788
264	2007	1779
265	2013	1771
266	2019	1762
267	2025	1753
268	2031	1744
269	2037	1735
270	2043	1726
271	2049	1718
272	2055	1709
273	2062	1701
274	2069	1692
275	2075	1684
276	2081	1676
277	2087	1667
278	2094	1659
279	2101	1651
280	2108	1643
281	2115	1635
282	2122	1627
283	2129	1619
284	2135	1610
285	2140	1601
286	2146	1593
287	2153	1585
288	2160	1577
289	2168	1570
290	2174	1562
291	2181	1553
292	2187	1545
293	2194	1537
294	2201	1529
295	2208	1521
296	2214	1513
297	2220	1505
298	2226	1496
299	2232	1488
300	2239	1480
301	2246	1472
302	2253	1465
303	2260	1457
304	2267	1449
305	2273	1441
306	2279	1432
307	2285	1424
308	2292	1416
309	2299	1409
310	2306	1401
311	2313	1393
312	2319	1385
313	2326	1377
314	2333	1370
315	2339	1362
316	2345	1354
317	2351	1345
318	2357	1337
319	2363	1329
320	2369	1321
321	2375	1313
322	2382	1305
323	2389	1298
324	2396	1290
325	2403	1282
326	2410	1275
327	2416	1267
328	2423	1259
329	2430	1251
330	2437	1244
331	2444	1236
332	2450	1229
333	2457	1221
334	2463	1213
335	2470	1205
336	2476	1197
337	2482	1189
338	2488	1181
339	2494	1173
340	2500	1166
341	2507	1158
342	2514	1150
343	2519	1142
344	2526	1135
345	2532	1127
346	2539	1119
347	2545	1111
348	2551	1104
349	2558	1096
350	2564	1088
351	2571	1081
352	2577	1073
353	2584	1065
354	2591	1058
355	2598	1051
356	2605	1043
357	2611	1035
358	2617	1027
359	2623	1020
360	2630	1012
361	2636	1005
362	2642	997
363	2648	989
364	2654	981
365	2661	974
366	2667	966
367	2673	958
368	2679	951
369	2685	943
370	2691	935
371	2697	928
372	2702	920
373	2708	912
374	2715	905
375	2721	897
376	2728	890
377	2733	882
378	2741	875
379	2747	867
380	2753	860
381	2758	852
382	2764	844
383	2770	836
384	2777	829
385	2783	821
386	2789	814
387	2795	806
388	2802	799
389	2808	792
390	2814	784
391	2821	777
392	2827	769
393	2834	762
394	2839	754
395	2845	747
396	2852	739
397	2858	732
398	2865	725
399	2871	717
400	2877	710
401	2884	703
402	2890	695
403	2897	688
404	2904	681
405	2910	673
406	2916	666
407	2922	659
408	2929	651
409	2935	644
410	2941	637
411	2948	629
412	2953	622
413	2959	614
414	2965	607
415	2972	600
416	2977	592
417	2983	585
418	2989	577
419	2995	570
420	3002	563
421	3008	556
422	3014	548
423	3020	541
424	3026	534
425	3032	526
426	3039	519
427	3046	512
428	3052	505
429	3059	498
430	3066	490
431	3072	483
432	3078	476
433	3085	469
434	3091	461
435	3097	454
436	3104	447
437	3110	440
438	3116	433
439	3122	425
440	3128	418
441	3134	411
442	3140	404
443	3147	396
444	3153	389
445	3159	382
446	3164	375
447	3170	367
448	3176	360
449	3183	353
450	3194	347
451	3202	340
452	3212	333
453	3221	326
454	3232	319
455	3242	312
456	3251	305
457	3261	299
458	3272	292
459	3282	285
460	3291	278
461	3302	271
462	3312	264
463	3322	257
464	3332	250
465	3341	243
466	3350	236
467	3360	229
468	3370	222
469	3379	215
470	3387	208
471	3396	201
472	3405	194
473	3416	187
474	3424	180
475	3433	173
476	3442	166
477	3451	158
478	3461	151
479	3469	144
480	3479	137
481	3490	130
482	3501	123
483	3509	116
484	3516	108
485	3523	101
486	3529	94
487	3535	86
488	3542	79
489	3549	72
490	3555	65
491	3561	57
492	3568	50
493	3575	43
494	3581	36
495	3587	28
496	3594	21
497	3605	14
498	3612	7
499	3619	0
